"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","button_pressed","0","1","2","3"
"2301.7699999036267","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2306","0.0-0.0","","","","","","",""
"1645.4950000625104","<p style=""color:white;"">Get your hands in position and press the space bar to start. </p>","32","html-keyboard-response","1","3952","0.0-1.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","2","4956","0.0-2.0-0.0","","","","","","",""
"3325.5349999526516","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$1.78    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","3","8285","0.0-2.0-1.0","practice",",","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","4","9288","0.0-2.0-2.0","","","","","","",""
"6.089999922551215","<p style=""color:white;"">Ready?</p>","","html-button-response","5","9295","0.0-2.0-3.0","","","0","","","",""
"","","","html-keyboard-response","6","15301","0.0-2.0-4.0","practice",",","","d","a","t","a"
"null","<p style=""color:white;"">completion </p> ","null","html-keyboard-response","7","17307","0.0-2.0-5.0","","","","","","",""
"null","<p style=""color:white;""> feedback </p> ","null","html-keyboard-response","8","19312","0.0-2.0-6.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","9","20316","0.0-2.0-0.1","","","","","","",""
"28399.480000021867","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$2.68    </p> <p style=""color:white;""> The probability of winning is 12%.   </p> ","76","html-keyboard-response","10","48717","0.0-2.0-1.1","practice",",","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","11","49719","0.0-2.0-2.1","","","","","","",""
"0.910000060684979","<p style=""color:white;"">Ready?</p>","","html-button-response","12","49720","0.0-2.0-3.1","","","0","","","",""
"","","","html-keyboard-response","13","53942","0.0-2.0-4.1","practice",",","","d","a","t","a"
"null","<p style=""color:white;"">completion </p> ","null","html-keyboard-response","14","55949","0.0-2.0-5.1","","","","","","",""
"null","<p style=""color:white;""> feedback </p> ","null","html-keyboard-response","15","57954","0.0-2.0-6.1","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","16","58960","0.0-2.0-0.2","","","","","","",""
"594.7399999713525","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$3.58    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","17","59556","0.0-2.0-1.2","practice",".","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","18","60560","0.0-2.0-2.2","","","","","","",""
"1.6450000694021583","<p style=""color:white;"">Ready?</p>","","html-button-response","19","60563","0.0-2.0-3.2","","","0","","","",""
"","","","html-keyboard-response","20","64988","0.0-2.0-4.2","practice",".","","d","a","t","a"
"null","<p style=""color:white;"">completion </p> ","null","html-keyboard-response","21","66991","0.0-2.0-5.2","","","","","","",""
"null","<p style=""color:white;""> feedback </p> ","null","html-keyboard-response","22","68991","0.0-2.0-6.2","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","69992","0.0-2.0-0.3","","","","","","",""
"33456.2900000019","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$4.12    </p> <p style=""color:white;""> The probability of winning is 88%.   </p> ","76","html-keyboard-response","24","103449","0.0-2.0-1.3","practice",".","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","25","104454","0.0-2.0-2.3","","","","","","",""
"1.7450000159442425","<p style=""color:white;"">Ready?</p>","","html-button-response","26","104457","0.0-2.0-3.3","","","0","","","",""
"","","","html-keyboard-response","27","110466","0.0-2.0-4.3","practice",".","","d","a","t","a"
"null","<p style=""color:white;"">completion </p> ","null","html-keyboard-response","28","112470","0.0-2.0-5.3","","","","","","",""
"null","<p style=""color:white;""> feedback </p> ","null","html-keyboard-response","29","114472","0.0-2.0-6.3","","","","","","",""
"3931.1750000342727","<p style=""color:white;"">That was the practice. The experiment starts now!</p> <p style=""color:white;"">Press the space bar to continue. </p>","32","html-keyboard-response","30","118404","0.0-3.0","","","","","","",""
"null","<p style=""color:white;"">You have now completed the task! Saving data...PLEASE DO NOT CLOSE THIS BROWSER until you complete the second part.</p> <p style=""color:white;"">BEFORE THE LINK DISAPPEARS please move on to the second part of the task at this link to obtain your completion code:</p> <a href=https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId= target=""_blank"">https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId=</a>","null","html-keyboard-response","31","163413","0.0-4.0","","","","","","",""
